x_p,delta_V
0.3524837972,0.0040455302
0.3525803486,0.0041041035
0.3526769001,0.0041627871
0.3527734515,0.0042215794
0.3528700029,0.0042804792
0.3529665543,0.0043394850
0.3530631057,0.0043985954
0.3531596571,0.0044578091
0.3532562085,0.0045171247
0.3533527599,0.0045765408
0.3534493113,0.0046360561
0.3535458627,0.0046956691
0.3536424140,0.0047553784
0.3537389654,0.0048151828
0.3538355167,0.0048750808
0.3539320681,0.0049350550
0.3540286194,0.0049950893
0.3541251708,0.0050551837
0.3542217221,0.0051153383
0.3543182734,0.0051755533
0.3544148248,0.0052358289
0.3545113761,0.0052961651
0.3546079274,0.0053565621
0.3547044787,0.0054170200
0.3548010300,0.0054775389
0.3548975813,0.0055381191
0.3549941326,0.0055987606
0.3550906839,0.0056594635
0.3551872351,0.0057202280
0.3552837864,0.0057810542
0.3553803377,0.0058416545
0.3554768890,0.0059022738
0.3555734402,0.0059629347
0.3556699915,0.0060236373
0.3557665427,0.0060843817
0.3558630939,0.0061451682
0.3559596452,0.0062059968
0.3560561964,0.0062668676
0.3561527476,0.0063277809
0.3562492988,0.0063887367
0.3563458501,0.0064497351
0.3564424013,0.0065107763
0.3565389525,0.0065718605
0.3566355037,0.0066329877
0.3567320549,0.0066941581
0.3568286060,0.0067553718
0.3569251572,0.0068166290
0.3570217084,0.0068779298
0.3571182596,0.0069392743
0.3572148107,0.0070006626
